Country,Observatory-ID,ARMS-ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,OtherDataLink,AccessRights,AssociatedFileType,longitude,latitude,depth,Fraction,Preservative,Filter,MaterialSample-ID
Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460466,ERR4018423,ERR4018429,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,sessile,DMSO,40,ARMS_Crete_1HERP_180928_190128_SF40_DMSO
Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460467,ERR4018424,ERR4018430,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,sessile,EtOH,40,ARMS_Crete_1HERP_180928_190128_SF40_EtOH
Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460468,ERR4018425,ERR4018431,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,motile ,DMSO,500,ARMS_Crete_1HERP_180928_190128_MF500_DMSO
Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460469,ERR4018426,ERR4018432,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,motile ,EtOH,500,ARMS_Crete_1HERP_180928_190128_MF500_EtOH
Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460470,ERR4018427,ERR4018433,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,sediment,frozen,NA,ARMS_Crete_1HERP_180928_190128_SED_Frozen
Greece,Crete,1HERP,2018-09-28,2019-01-28,NA,ERR4018428,ERR4018434,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,25.136605,35.343153,5,plankton,EtOH,250,ARMS_Crete_1HERP_180928_190128_PS250_EtOH
Greece,Crete,1HERP,2018-09-28,2019-01-28,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100183aaa3ee810554990,http://purl.org/eprint/accessRights/OpenAccess,images,25.136605,35.343153,NA,NA,NA,NA,ARMS_Crete_1HERP_180928_190128_Images
Greece,Crete,1HERP,2018-09-28,2019-01-28,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100190832a05166010758,http://purl.org/eprint/accessRights/OpenAccess,manual observations,25.136605,35.343153,NA,NA,NA,NA,ARMS_Crete_1HERP_180928_190128_ManualObservations
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018450,ERR4018436,ERR4018443,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,sessile,EtOH,40,ARMS_Koster_VH2_180418_180906_SF40_EtOH
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018451,ERR4018437,ERR4018444,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,sessile,DMSO,40,ARMS_Koster_VH2_180418_180906_SF40_DMSO
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018452,ERR4018438,ERR4018445,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,motile ,EtOH,100,ARMS_Koster_VH2_180418_180906_MF100_EtOH
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018453,ERR4018439,ERR4018446,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,motile ,EtOH,500,ARMS_Koster_VH2_180418_180906_MF500_EtOH
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018454,ERR4018440,ERR4018447,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,sediment,DMSO,100,ARMS_Koster_VH2_180418_180906_SED100_DMSO
Sweden,Koster,VH2,2018-04-18,2018-09-06,ERR4018455,ERR4018441,ERR4018448,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,sediment,DMSO,500,ARMS_Koster_VH2_180418_180906_SED500_DMSO
Sweden,Koster,VH2,2018-04-18,2018-09-06,NA,ERR4018442,ERR4018449,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences,11.111884,58.87633,22,plankton,EtOH,90,ARMS_Koster_VH2_180418_180906_PS90_EtOH
Sweden,Koster,VH2,2018-04-18,2018-09-06,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100189bdacd8661881214,http://purl.org/eprint/accessRights/OpenAccess,images,11.111884,58.87633,NA,NA,NA,NA,ARMS_Koster_VH2_180418_180906_Images
Sweden,Koster,VH2,2018-04-18,2018-09-06,NA,NA,NA,NA,NA,NA,VLIZ_00000615_610018fa66217766733426,http://purl.org/eprint/accessRights/OpenAccess,manual observations,11.111884,58.87633,NA,NA,NA,NA,ARMS_Crete_1HERP_180928_190128_ManualObservations
