ColumnTitle+,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl,Cell2URL
Sample Region (country),Sampling region name,xsd:string,schema:description,,,,
Country ISO3letter code,Country,xsd:string,schema:country,,,,http://publications.europa.eu/resource/authority/country/{}
Observatory-ID (corrected),Observatory ID,xsd:string,schema:identifier,,,,
ARMS-ID (corrected),ARMS unit ID,xsd:string,schema:identifier,,,,
Latitude,Latitude of the ARMS unit,xsd:double,schema:latitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
Longitude,Longitude of the ARMS unit,xsd:double,schema:longitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
Depth (m),Depth of the ARMS unit,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,
Field replicates,Whether this is a field replicate: y(es)/n(o) ; master name of the replicate set,xsd:string,schema:description,,,,
Monitoring area,Type of monitoring area,xsd:string,schema:description,,,,
Habitat keywords (env_local),"Habitat keywords, semi-colon separated",xsd:string,schema:description, ,,,http://purl.obolibrary.org/obo/{}
Notes,Notes ,xsd:string,schema:comment,,,,
