Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
GulfOfPiran,Slovenia,to delete,2020-06-22,2021-05,ARMS_GulfOfPiran_to delete_20200622_00000000,0,0,0,0,2020-12-16,2020-12-16
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,0,0,0,154,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2019-02-15,ARMS_GulfOfPiran_Fornace_20180815_20190215,0,0,0,179,2020-03-16,2020-04-14
GulfOfPiran,Slovenia,Fornace,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,0,0,0,127,2020-03-23,2020-04-22
GulfOfPiran,Slovenia,Fornace,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,0,0,0,0,2020-03-23,2022-03-04
GulfOfPiran,Slovenia,LukaKP,2020-10-22,2021-02-23,ARMS_GulfOfPiran_LukaKP_20201022_20210223,0,0,0,0,2021-03-22,2021-03-22
GulfOfPiran,Slovenia,LukaKP,2020-06-22,2020-10-20,ARMS_GulfOfPiran_LukaKP_20200622_20201020,0,0,0,0,2020-12-16,2021-03-22
GulfOfPiran,Slovenia,LukaKP,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,LukaKP,2022-02-28,,ARMS_GulfOfPiran_LukaKP_00000000_00000000,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,2021-10-27,2022-02-28,ARMS_GulfOfPiran_LukaKP_20211027_20220228,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,BojaVida,2019-07-11,2020-01-31,ARMS_GulfOfPiran_BojaVida_20190711_20200131,0,0,0,145,2020-03-23,2020-04-22
GulfOfPiran,Slovenia,BojaVida,2019-07-11,2020-06-11,ARMS_GulfOfPiran_BojaVida_20190711_20200611,0,0,0,0,2020-03-23,2021-03-22
GulfOfPiran,Slovenia,BojaVida,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,BojaVida,2021-07-28,,ARMS_GulfOfPiran_BojaVida_00000000_00000000,0,0,0,0,2022-03-04,2022-03-04
